prompt_type,concurrency,cache_mode,stop_seq,request_id,prompt_tokens,tokens_generated,ttft_ms,total_latency_ms,tokens_per_second
short,1,cold,none,0,17,12,3048.25,3265.41,55.78
short,1,cold,none,1,15,18,179.34,524.34,53.01
short,1,cold,none,2,17,8,162.49,302.42,57.94
short,1,cold,none,3,16,32,177.85,795.8,52.47
short,1,cold,none,4,19,3,170.0,209.33,77.18
short,1,cold,none,5,16,10,169.43,345.72,57.4
short,1,cold,none,6,18,22,162.42,579.26,53.56
short,1,cold,none,7,20,20,168.86,543.54,54.1
short,1,cold,newline,0,17,12,159.76,374.41,56.63
short,1,cold,newline,1,15,6,166.12,263.68,62.1
short,1,cold,newline,2,17,8,162.14,304.41,57.27
short,1,cold,newline,3,16,32,165.46,772.09,53.42
short,1,cold,newline,4,19,3,168.15,207.66,76.65
short,1,cold,newline,5,16,10,167.56,344.27,57.23
short,1,cold,newline,6,18,22,166.05,576.5,54.27
short,1,cold,newline,7,20,20,173.49,545.49,54.4
short,1,warm,none,0,17,12,167.77,385.95,55.85
short,1,warm,none,1,17,12,110.6,343.23,52.23
short,1,warm,none,2,17,12,87.55,317.0,53.04
short,1,warm,none,3,17,12,93.58,331.42,51.4
short,1,warm,none,4,17,12,105.34,334.69,52.96
short,1,warm,none,5,17,12,94.67,322.71,53.6
short,1,warm,none,6,17,12,114.38,345.97,52.62
short,1,warm,none,7,17,12,99.87,326.85,53.64
short,1,warm,newline,0,17,12,89.74,305.16,56.33
short,1,warm,newline,1,17,12,88.28,318.19,52.97
short,1,warm,newline,2,17,12,98.27,328.25,52.79
short,1,warm,newline,3,17,12,90.44,319.34,53.21
short,1,warm,newline,4,17,12,92.29,320.06,53.3
short,1,warm,newline,5,17,12,91.61,321.16,53.0
short,1,warm,newline,6,17,12,97.12,323.74,53.52
short,1,warm,newline,7,17,12,92.94,315.88,54.61
short,2,cold,none,1,15,18,176.01,532.61,51.19
short,2,cold,none,0,17,12,629.21,857.81,53.44
short,2,cold,none,2,17,8,421.43,568.65,55.19
short,2,cold,none,3,16,32,343.1,1207.17,38.63
short,2,cold,none,4,19,3,1169.49,1211.96,68.89
short,2,cold,none,5,16,10,347.46,555.45,49.47
short,2,cold,none,6,18,22,407.57,853.41,50.11
short,2,cold,none,7,20,20,644.26,1042.5,51.1
short,2,cold,newline,0,17,12,184.02,414.46,53.02
short,2,cold,newline,1,15,6,510.02,613.91,58.56
short,2,cold,newline,2,17,8,299.6,445.3,55.83
short,2,cold,newline,3,16,32,342.72,999.68,49.84
short,2,cold,newline,4,19,3,852.51,894.62,72.45
short,2,cold,newline,5,16,10,234.96,414.1,56.76
short,2,cold,newline,6,18,22,370.81,811.26,50.75
short,2,cold,newline,7,20,20,635.5,1037.73,50.81
short,2,warm,none,1,17,12,174.58,403.93,53.24
short,2,warm,none,0,17,12,428.01,658.5,52.58
short,2,warm,none,2,17,12,276.32,505.04,53.22
short,2,warm,none,3,17,12,272.76,501.65,53.18
short,2,warm,none,4,17,12,273.49,503.47,52.91
short,2,warm,none,5,17,12,274.21,521.2,49.28
short,2,warm,none,6,17,12,293.25,528.52,51.73
short,2,warm,none,7,17,12,282.28,517.17,51.83
short,2,warm,newline,1,17,12,100.6,331.27,52.81
short,2,warm,newline,0,17,12,353.96,584.84,52.66
short,2,warm,newline,2,17,12,275.54,505.22,52.98
short,2,warm,newline,3,17,12,273.89,505.7,52.51
short,2,warm,newline,4,17,12,276.77,509.56,52.3
short,2,warm,newline,5,17,12,277.6,510.81,52.15
short,2,warm,newline,6,17,12,277.45,510.27,52.26
short,2,warm,newline,7,17,12,277.55,509.22,52.54
short,4,cold,none,1,15,18,186.41,536.58,52.28
short,4,cold,none,0,17,12,633.86,864.31,52.88
short,4,cold,none,2,17,8,962.04,1111.24,54.44
short,4,cold,none,3,16,32,1209.44,1871.17,49.33
short,4,cold,none,4,19,3,1435.68,1478.43,71.03
short,4,cold,none,5,16,10,1247.84,1438.38,53.71
short,4,cold,none,6,18,22,1289.57,1731.84,50.98
short,4,cold,none,7,20,20,1069.25,1469.63,50.87
short,4,cold,newline,2,17,8,181.74,329.22,54.97
short,4,cold,newline,0,17,12,425.89,657.19,52.89
short,4,cold,newline,1,15,6,753.22,858.52,58.05
short,4,cold,newline,3,16,32,955.31,1600.76,50.49
short,4,cold,newline,4,19,3,1369.52,1411.62,72.42
short,4,cold,newline,5,16,10,1180.9,1372.92,52.86
short,4,cold,newline,6,18,22,1269.0,1711.23,50.82
short,4,cold,newline,7,20,20,1066.4,1464.77,51.15
short,4,warm,none,2,17,12,183.27,409.22,53.92
short,4,warm,none,1,17,12,431.34,661.58,52.78
short,4,warm,none,3,17,12,683.03,923.53,50.79
short,4,warm,none,0,17,12,946.6,1176.88,52.86
short,4,warm,none,4,17,12,789.54,1024.1,51.77
short,4,warm,none,5,17,12,794.96,1025.07,53.01
short,4,warm,none,6,17,12,784.05,1013.73,53.15
short,4,warm,none,7,17,12,783.7,1013.04,53.4
short,4,warm,newline,2,17,12,108.83,338.79,52.92
short,4,warm,newline,1,17,12,361.43,592.0,52.8
short,4,warm,newline,0,17,12,614.72,844.37,52.92
short,4,warm,newline,3,17,12,865.71,1095.66,52.83
short,4,warm,newline,4,17,12,779.22,1040.51,47.02
short,4,warm,newline,5,17,12,817.98,1057.31,50.78
short,4,warm,newline,6,17,12,827.78,1071.07,50.31
short,4,warm,newline,7,17,12,841.49,1068.23,53.79
short,8,cold,none,5,16,10,226.91,416.21,53.69
short,8,cold,none,2,17,8,515.23,666.42,53.71
short,8,cold,none,7,20,20,761.07,1170.73,49.65
short,8,cold,none,1,15,18,1271.4,1628.06,51.23
short,8,cold,none,6,18,22,1722.5,2144.95,52.75
short,8,cold,none,0,17,12,2246.34,2482.7,51.97
short,8,cold,none,3,16,32,2579.3,3247.2,48.83
short,8,cold,none,4,19,3,3345.75,3389.92,68.85
short,8,cold,newline,2,17,8,196.66,335.63,58.46
short,8,cold,newline,3,16,32,429.4,1087.7,49.45
short,8,cold,newline,6,18,22,1184.85,1630.46,50.19
short,8,cold,newline,5,16,10,1729.13,1948.79,46.47
short,8,cold,newline,7,20,20,2045.64,2448.19,50.67
short,8,cold,newline,1,15,6,2549.82,2655.26,57.94
short,8,cold,newline,0,17,12,2752.48,2983.15,52.69
short,8,cold,newline,4,19,3,3079.51,3124.25,67.08
short,8,warm,none,0,17,12,255.94,540.32,42.67
short,8,warm,none,4,17,12,560.78,790.9,53.05
short,8,warm,none,7,17,12,812.05,1046.23,52.15
short,8,warm,none,3,17,12,1071.67,1302.09,52.87
short,8,warm,none,2,17,12,1324.66,1553.51,53.17
short,8,warm,none,5,17,12,1573.64,1804.29,52.73
short,8,warm,none,1,17,12,1827.98,2059.05,52.83
short,8,warm,none,6,17,12,2079.71,2307.54,53.27
short,8,warm,newline,5,17,12,118.49,346.83,53.23
short,8,warm,newline,2,17,12,370.63,612.32,50.56
short,8,warm,newline,0,17,12,634.83,867.54,52.32
short,8,warm,newline,4,17,12,888.55,1121.09,52.56
short,8,warm,newline,6,17,12,1142.67,1373.44,52.69
short,8,warm,newline,1,17,12,1397.34,1626.47,53.1
short,8,warm,newline,7,17,12,1645.78,1875.84,52.9
short,8,warm,newline,3,17,12,1898.95,2127.72,53.14
long,1,cold,none,0,52,128,250.8,2977.83,47.67
long,1,cold,none,1,51,128,248.88,3247.34,43.58
long,1,cold,none,2,54,128,256.72,3031.6,46.9
long,1,cold,none,3,58,128,254.29,2959.28,48.09
long,1,cold,none,4,53,128,261.65,2934.1,48.79
long,1,cold,none,5,50,128,266.9,2959.41,48.43
long,1,cold,none,6,53,128,258.68,2931.89,48.63
long,1,cold,none,7,50,128,253.23,2808.27,50.8
long,1,cold,newline,0,52,55,246.7,1332.91,51.33
long,1,cold,newline,1,51,63,245.18,1492.12,51.22
long,1,cold,newline,2,54,54,245.74,1302.1,51.85
long,1,cold,newline,3,58,48,241.27,1365.95,43.47
long,1,cold,newline,4,53,51,243.63,1259.72,51.0
long,1,cold,newline,5,50,67,249.46,1594.46,50.51
long,1,cold,newline,6,53,56,252.47,1477.54,46.5
long,1,cold,newline,7,50,46,261.87,1216.9,48.9
long,1,warm,none,0,52,128,243.95,2808.17,50.65
long,1,warm,none,1,52,128,90.03,2680.99,50.12
long,1,warm,none,2,52,128,90.18,2654.7,50.63
long,1,warm,none,3,52,128,90.67,2657.09,50.59
long,1,warm,none,4,52,128,100.82,2837.71,47.46
long,1,warm,none,5,52,128,105.31,2780.09,48.57
long,1,warm,none,6,52,128,92.15,2732.84,49.16
long,1,warm,none,7,52,128,93.05,2643.0,50.91
long,1,warm,newline,0,52,55,100.33,1176.62,51.8
long,1,warm,newline,1,52,55,90.75,1190.46,50.78
long,1,warm,newline,2,52,55,94.24,1185.44,51.08
long,1,warm,newline,3,52,55,90.11,1204.32,50.1
long,1,warm,newline,4,52,55,90.41,1287.19,46.66
long,1,warm,newline,5,52,55,95.62,1282.41,47.01
long,1,warm,newline,6,52,55,98.25,1189.77,51.11
long,1,warm,newline,7,52,55,92.17,1173.79,51.56
long,2,cold,none,0,52,128,105.73,2670.51,50.66
long,2,cold,none,1,51,128,2842.73,5388.55,51.03
long,2,cold,none,2,54,128,2893.13,5455.8,50.72
long,2,cold,none,3,58,128,2911.53,5605.97,48.45
long,2,cold,none,4,53,128,3041.14,5654.07,49.69
long,2,cold,none,5,50,128,2960.01,5651.61,48.29
long,2,cold,none,6,53,128,3039.19,5633.88,50.04
long,2,cold,none,7,50,128,2940.33,5505.95,50.55
long,2,cold,newline,1,51,63,484.01,1830.47,47.6
long,2,cold,newline,0,52,55,2012.07,3210.18,46.65
long,2,cold,newline,2,54,54,1556.85,2680.7,49.01
long,2,cold,newline,3,58,48,1478.75,2463.41,49.35
long,2,cold,newline,4,53,51,1341.49,2392.17,49.19
long,2,cold,newline,5,50,67,1431.21,2804.02,49.53
long,2,cold,newline,6,53,56,1746.84,2861.77,50.89
long,2,cold,newline,7,50,46,1459.72,2367.45,51.42
long,2,warm,none,1,52,128,259.96,2854.18,50.02
long,2,warm,none,0,52,128,2876.92,5498.51,49.47
long,2,warm,none,2,52,128,2664.85,5188.12,51.37
long,2,warm,none,3,52,128,2564.87,5100.88,51.15
long,2,warm,none,4,52,128,2577.8,5114.12,51.13
long,2,warm,none,5,52,128,2578.35,5123.03,50.96
long,2,warm,none,6,52,128,2586.69,5151.66,50.59
long,2,warm,none,7,52,128,2606.59,5131.43,51.33
long,2,warm,newline,1,52,55,99.97,1272.16,49.28
long,2,warm,newline,0,52,55,1300.89,2475.97,47.58
long,2,warm,newline,2,52,55,1226.25,2351.02,49.57
long,2,warm,newline,3,52,55,1168.8,2260.49,51.1
long,2,warm,newline,4,52,55,1134.17,2254.66,49.79
long,2,warm,newline,5,52,55,1163.47,2249.33,51.34
long,2,warm,newline,6,52,55,1128.66,2205.58,51.78
long,2,warm,newline,7,52,55,1118.36,2225.47,50.4
long,4,cold,none,3,58,128,274.55,2848.85,50.4
long,4,cold,none,0,52,128,3022.61,5560.06,51.1
long,4,cold,none,1,51,128,5734.18,8441.36,48.0
long,4,cold,none,2,54,128,8614.81,11141.4,51.31
long,4,cold,none,4,53,128,8466.17,11108.83,49.11
long,4,cold,none,5,50,128,8575.59,11227.78,48.96
long,4,cold,none,6,53,128,8529.47,11428.87,45.21
long,4,cold,none,7,50,128,8910.01,11693.3,46.76
long,4,cold,newline,3,58,48,280.26,1223.52,51.53
long,4,cold,newline,2,54,54,1399.77,2463.2,51.45
long,4,cold,newline,1,51,63,2636.14,3913.81,49.99
long,4,cold,newline,0,52,55,4088.89,5162.71,51.87
long,4,cold,newline,4,53,51,4109.84,5108.51,51.71
long,4,cold,newline,5,50,67,4042.28,5361.51,51.44
long,4,cold,newline,6,53,56,4084.04,5184.08,51.55
long,4,cold,newline,7,50,46,4109.53,5014.36,51.51
long,4,warm,none,1,52,128,257.12,2898.17,49.13
long,4,warm,none,3,52,128,2920.6,5539.43,49.52
long,4,warm,none,2,52,128,5564.65,8581.73,43.01
long,4,warm,none,0,52,128,8605.86,11323.36,47.71
long,4,warm,none,4,52,128,8447.09,11075.08,49.34
long,4,warm,none,5,52,128,8454.53,11167.77,47.8
long,4,warm,none,6,52,128,8148.22,10845.48,48.06
long,4,warm,none,7,52,128,8125.87,10696.11,50.44
long,4,warm,newline,0,52,55,108.31,1190.73,51.46
long,4,warm,newline,1,52,55,1212.33,2305.13,51.0
long,4,warm,newline,2,52,55,2326.11,3449.47,49.63
long,4,warm,newline,3,52,55,3470.39,4564.58,50.92
long,4,warm,newline,4,52,55,3395.39,4573.81,47.66
long,4,warm,newline,5,52,55,3491.45,4722.73,45.41
long,4,warm,newline,6,52,55,3601.42,4809.42,47.01
long,4,warm,newline,7,52,55,3720.98,4888.69,47.9
long,8,cold,none,0,52,128,159.53,3200.12,43.46
long,8,cold,none,4,53,128,3543.48,7947.95,32.01
long,8,cold,none,3,58,128,8168.76,11904.86,36.17
long,8,cold,none,1,51,128,12159.04,15060.28,45.66
long,8,cold,none,2,54,128,15274.91,18031.84,47.16
long,8,cold,none,6,53,128,18244.67,21005.94,47.11
long,8,cold,none,7,50,128,21217.05,23968.74,47.31
long,8,cold,none,5,50,128,24179.18,26941.22,47.05
long,8,cold,newline,7,50,46,334.25,1313.35,47.62
long,8,cold,newline,3,58,48,1545.2,2619.11,45.4
long,8,cold,newline,0,52,55,2857.14,4012.08,48.36
long,8,cold,newline,6,53,56,4210.52,5374.19,48.72
long,8,cold,newline,4,53,51,5575.16,6637.91,48.57
long,8,cold,newline,1,51,63,6846.67,8179.56,47.91
long,8,cold,newline,2,54,54,8393.92,9546.2,47.6
long,8,cold,newline,5,50,67,9755.8,11171.58,48.03
long,8,warm,none,7,52,128,303.99,3079.08,46.84
long,8,warm,none,5,52,128,3103.78,5955.7,45.5
long,8,warm,none,2,52,128,5981.67,8889.93,44.69
long,8,warm,none,3,52,128,8913.76,11716.95,46.35
long,8,warm,none,0,52,128,11741.41,14542.63,46.34
long,8,warm,none,1,52,128,14567.1,17370.52,46.24
long,8,warm,none,4,52,128,17391.98,20218.29,45.84
long,8,warm,none,6,52,128,20238.94,22882.07,49.05
long,8,warm,newline,3,52,55,114.4,1279.63,47.86
long,8,warm,newline,1,52,55,1303.56,2511.42,46.17
long,8,warm,newline,7,52,55,2532.3,3734.62,46.43
long,8,warm,newline,6,52,55,3758.08,4945.07,46.89
long,8,warm,newline,5,52,55,4968.13,6149.17,47.12
long,8,warm,newline,0,52,55,6174.01,7350.05,47.36
long,8,warm,newline,4,52,55,7371.16,8520.36,48.55
long,8,warm,newline,2,52,55,8542.94,9675.74,49.18
